_id,FSA,BEV,PHEV,TotalEV
1,K0A,388,257,645
2,K0B,49,46,95
3,K0C,91,76,167
4,K0E,75,53,128
5,K0G,126,71,197
6,K0H,109,83,192
7,K0J,46,50,96
8,K0K,244,165,409
9,K0L,113,91,204
10,K0M,66,45,111
11,K1A,20,50,70
12,K1B,41,44,85
13,K1C,123,96,219
14,K1E,34,25,59
15,K1G,82,84,166
16,K1H,74,61,135
17,K1J,81,75,156
18,K1K,90,78,168
19,K1L,27,39,66
20,K1M,55,48,103
21,K1N,61,55,116
22,K1P,17,11,28
23,K1R,54,33,87
24,K1S,173,144,317
25,K1T,119,68,187
26,K1V,163,136,299
27,K1W,70,33,103
28,K1X,25,6,31
29,K1Y,132,71,203
30,K1Z,78,53,131
31,K2A,121,61,182
32,K2B,66,51,117
33,K2C,92,57,149
34,K2E,64,55,119
35,K2G,167,104,271
36,K2H,90,68,158
37,K2J,273,176,449
38,K2K,148,87,235
39,K2L,49,42,91
40,K2M,124,91,215
41,K2P,41,31,72
42,K2R,7,6,13
43,K2S,196,119,315
44,K2T,61,37,98
45,K2V,58,27,85
46,K2W,70,20,90
47,K4A,216,139,355
48,K4B,22,21,43
49,K4C,35,14,49
50,K4K,69,40,109
51,K4M,133,45,178
52,K4P,74,35,109
53,K4R,26,25,51
54,K5M,1,,1
55,K6A,26,19,45
56,K6H,39,35,74
57,K6J,13,17,30
58,K6K,3,2,5
59,K6T,1,,1
60,K6V,38,34,72
61,K7A,21,15,36
62,K7C,56,34,90
63,K7G,18,11,29
64,K7H,53,40,93
65,K7K,66,42,108
66,K7L,108,83,191
67,K7M,111,86,197
68,K7N,14,8,22
69,K7P,76,44,120
70,K7R,25,16,41
71,K7S,32,16,48
72,K7V,16,12,28
73,K8A,18,23,41
74,K8B,,1,1
75,K8H,22,28,50
76,K8J,1,,1
77,K8N,57,46,103
78,K8P,21,26,47
79,K8R,8,7,15
80,K8V,45,38,83
81,K9A,66,59,125
82,K9H,57,42,99
83,K9J,83,72,155
84,K9K,31,20,51
85,K9L,18,16,34
86,K9V,28,19,47
87,L0A,53,26,79
88,L0B,53,38,91
89,L0C,26,14,40
90,L0E,42,30,72
91,L0G,193,88,281
92,L0H,4,9,13
93,L0J,59,13,72
94,L0K,91,54,145
95,L0L,179,71,250
96,L0M,99,39,138
97,L0N,11,5,16
98,L0P,84,22,106
99,L0R,344,220,564
100,L0S,235,146,381
101,L1A,38,30,68
102,L1B,35,21,56
103,L1C,146,65,211
104,L1E,67,49,116
105,L1G,62,49,111
106,L1H,88,43,131
107,L1J,75,47,122
108,L1K,128,53,181
109,L1L,60,26,86
110,L1M,101,47,148
111,L1N,171,103,274
112,L1P,111,53,164
113,L1R,156,55,211
114,L1S,143,85,228
115,L1T,188,76,264
116,L1V,190,86,276
117,L1W,67,35,102
118,L1X,116,29,145
119,L1Y,14,9,23
120,L1Z,149,87,236
121,L2A,36,26,62
122,L2E,26,22,48
123,L2G,60,37,97
124,L2H,83,38,121
125,L2J,30,19,49
126,L2L,,1,1
127,L2M,38,32,70
128,L2N,74,53,127
129,L2P,27,22,49
130,L2R,82,118,200
131,L2S,55,39,94
132,L2T,22,16,38
133,L2V,41,21,62
134,L2W,8,4,12
135,L2Y,,1,1
136,L3B,44,26,70
137,L3C,60,43,103
138,L3J,,5,5
139,L3K,30,22,52
140,L3L,1,,1
141,L3M,162,123,285
142,L3P,233,94,327
143,L3R,463,185,648
144,L3S,174,61,235
145,L3T,286,115,401
146,L3V,88,68,156
147,L3X,278,108,386
148,L3Y,189,133,322
149,L3Z,187,70,257
150,L4A,394,139,533
151,L4B,407,142,549
152,L4C,422,162,584
153,L4E,452,165,617
154,L4G,415,197,612
155,L4H,464,133,597
156,L4J,406,185,591
157,L4K,205,73,278
158,L4L,251,80,331
159,L4M,129,70,199
160,L4N,293,129,422
161,L4P,97,49,146
162,L4R,28,18,46
163,L4S,288,136,424
164,L4T,57,27,84
165,L4V,18,11,29
166,L4W,130,102,232
167,L4X,40,13,53
168,L4Y,51,36,87
169,L4Z,124,80,204
170,L5A,80,32,112
171,L5B,199,123,322
172,L5C,116,60,176
173,L5E,63,24,87
174,L5G,148,77,225
175,L5H,197,70,267
176,L5J,127,70,197
177,L5K,58,29,87
178,L5L,201,121,322
179,L5M,557,222,779
180,L5N,308,155,463
181,L5P,3,8,11
182,L5R,159,61,220
183,L5S,22,7,29
184,L5T,56,22,78
185,L5V,160,62,222
186,L5W,149,36,185
187,L5X,1,,1
188,L6A,541,141,682
189,L6B,270,61,331
190,L6C,557,185,742
191,L6E,223,79,302
192,L6G,48,19,67
193,L6H,593,289,882
194,L6J,387,156,543
195,L6K,111,110,221
196,L6L,306,133,439
197,L6M,584,260,844
198,L6N,1,,1
199,L6P,440,96,536
200,L6R,237,84,321
201,L6S,111,73,184
202,L6T,92,73,165
203,L6V,71,49,120
204,L6W,61,50,111
205,L6X,293,82,375
206,L6Y,405,128,533
207,L6Z,88,51,139
208,L7A,293,105,398
209,L7B,218,60,278
210,L7C,248,92,340
211,L7E,175,78,253
212,L7G,235,121,356
213,L7H,1,,1
214,L7J,62,36,98
215,L7K,57,21,78
216,L7L,279,173,452
217,L7M,340,169,509
218,L7N,92,54,146
219,L7P,181,98,279
220,L7R,98,90,188
221,L7S,55,39,94
222,L7T,105,64,169
223,L8B,130,70,200
224,L8E,153,85,238
225,L8G,61,32,93
226,L8H,34,27,61
227,L8J,99,59,158
228,L8K,46,50,96
229,L8L,41,35,76
230,L8M,23,30,53
231,L8N,29,25,54
232,L8P,72,64,136
233,L8R,17,12,29
234,L8S,37,32,69
235,L8T,24,26,50
236,L8V,20,20,40
237,L8W,56,40,96
238,L9A,54,39,93
239,L9B,69,57,126
240,L9C,100,86,186
241,L9E,128,32,160
242,L9G,164,100,264
243,L9H,205,143,348
244,L9J,16,,16
245,L9K,133,48,181
246,L9L,55,24,79
247,L9M,32,28,60
248,L9N,148,51,199
249,L9P,64,48,112
250,L9R,71,36,107
251,L9S,132,49,181
252,L9T,557,213,770
253,L9V,49,33,82
254,L9W,173,98,271
255,L9X,86,28,114
256,L9Y,122,68,190
257,L9Z,57,32,89
258,M1B,163,116,279
259,M1C,153,76,229
260,M1E,87,66,153
261,M1G,31,19,50
262,M1H,48,34,82
263,M1J,39,17,56
264,M1K,44,23,67
265,M1L,57,24,81
266,M1M,72,31,103
267,M1N,75,54,129
268,M1P,68,31,99
269,M1R,42,25,67
270,M1S,81,42,123
271,M1T,50,25,75
272,M1V,90,38,128
273,M1W,79,41,120
274,M1X,47,17,64
275,M2B,1,,1
276,M2H,77,37,114
277,M2J,188,90,278
278,M2K,106,44,150
279,M2L,144,44,188
280,M2M,121,44,165
281,M2N,364,172,536
282,M2P,92,24,116
283,M2R,68,47,115
284,M3A,218,37,255
285,M3B,172,58,230
286,M3C,109,34,143
287,M3H,141,58,199
288,M3J,82,36,118
289,M3K,22,8,30
290,M3L,24,6,30
291,M3M,20,12,32
292,M3N,21,11,32
293,M3R,,1,1
294,M4A,25,13,38
295,M4B,52,27,79
296,M4C,88,65,153
297,M4E,125,73,198
298,M4G,165,75,240
299,M4H,12,7,19
300,M4J,109,52,161
301,M4K,100,61,161
302,M4L,112,69,181
303,M4M,103,53,156
304,M4N,190,75,265
305,M4P,88,45,133
306,M4R,85,44,129
307,M4S,177,37,214
308,M4T,83,42,125
309,M4V,165,54,219
310,M4W,147,54,201
311,M4X,28,8,36
312,M4Y,67,26,93
313,M5A,171,54,225
314,M5B,31,17,48
315,M5C,16,7,23
316,M5E,64,15,79
317,M5G,42,32,74
318,M5H,61,20,81
319,M5J,74,31,105
320,M5K,4,1,5
321,M5L,4,,4
322,M5M,237,101,338
323,M5N,115,50,165
324,M5P,169,63,232
325,M5R,165,57,222
326,M5S,50,29,79
327,M5T,33,21,54
328,M5V,277,64,341
329,M5X,2,2,4
330,M6A,41,20,61
331,M6B,79,34,113
332,M6C,119,43,162
333,M6E,63,28,91
334,M6G,94,53,147
335,M6H,82,48,130
336,M6J,123,40,163
337,M6K,113,41,154
338,M6L,25,10,35
339,M6M,32,27,59
340,M6N,50,38,88
341,M6P,93,80,173
342,M6R,82,62,144
343,M6S,181,103,284
344,M6Y,1,,1
345,M7J,1,,1
346,M8V,169,73,242
347,M8W,90,38,128
348,M8X,112,41,153
349,M8Y,132,48,180
350,M8Z,156,102,258
351,M9A,193,102,295
352,M9B,167,71,238
353,M9C,106,49,155
354,M9L,27,18,45
355,M9M,31,8,39
356,M9N,33,22,55
357,M9P,40,14,54
358,M9R,48,18,66
359,M9V,59,38,97
360,M9W,100,39,139
361,N0A,63,43,106
362,N0B,429,239,668
363,N0C,38,18,56
364,N0E,55,48,103
365,N0G,128,92,220
366,N0H,149,108,257
367,N0J,60,40,100
368,N0K,21,19,40
369,N0L,128,96,224
370,N0M,112,89,201
371,N0N,48,47,95
372,N0P,67,56,123
373,N0R,106,110,216
374,N1A,23,11,34
375,N1C,11,17,28
376,N1E,138,92,230
377,N1G,119,78,197
378,N1H,129,91,220
379,N1K,31,21,52
380,N1L,105,58,163
381,N1M,49,34,83
382,N1P,20,11,31
383,N1R,91,68,159
384,N1S,67,35,102
385,N1T,82,37,119
386,N2A,111,53,164
387,N2B,54,26,80
388,N2C,33,21,54
389,N2E,89,42,131
390,N2G,62,25,87
391,N2H,95,47,142
392,N2J,89,33,122
393,N2K,198,90,288
394,N2L,159,85,244
395,N2M,91,52,143
396,N2N,52,54,106
397,N2P,136,61,197
398,N2R,96,41,137
399,N2S,1,,1
400,N2T,116,64,180
401,N2V,106,72,178
402,N2Z,39,30,69
403,N3A,77,59,136
404,N3B,38,15,53
405,N3C,109,67,176
406,N3E,17,6,23
407,N3G,1,,1
408,N3H,68,34,102
409,N3L,61,40,101
410,N3P,14,16,30
411,N3R,65,59,124
412,N3S,33,27,60
413,N3T,116,67,183
414,N3V,6,2,8
415,N3W,42,29,71
416,N3Y,33,26,59
417,N4B,7,6,13
418,N4G,34,34,68
419,N4K,66,65,131
420,N4L,15,14,29
421,N4N,20,13,33
422,N4S,60,48,108
423,N4T,47,28,75
424,N4V,9,4,13
425,N4W,14,10,24
426,N4X,19,26,45
427,N4Z,4,9,13
428,N5A,77,57,134
429,N5C,30,20,50
430,N5H,17,17,34
431,N5L,11,9,20
432,N5N,1,,1
433,N5P,29,31,60
434,N5R,35,51,86
435,N5V,24,32,56
436,N5W,25,26,51
437,N5X,95,68,163
438,N5Y,28,28,56
439,N5Z,19,35,54
440,N6A,44,31,75
441,N6B,12,26,38
442,N6C,66,54,120
443,N6E,11,52,63
444,N6G,143,118,261
445,N6H,96,72,168
446,N6J,29,33,62
447,N6K,112,97,209
448,N6L,17,12,29
449,N6M,16,16,32
450,N6N,1,,1
451,N6P,43,37,80
452,N6V,1,,1
453,N7A,30,25,55
454,N7G,30,24,54
455,N7L,31,24,55
456,N7M,37,33,70
457,N7S,30,33,63
458,N7T,17,16,33
459,N7V,14,7,21
460,N7W,3,5,8
461,N7X,7,3,10
462,N8A,7,7,14
463,N8H,29,29,58
464,N8M,12,23,35
465,N8N,73,46,119
466,N8P,25,35,60
467,N8R,11,20,31
468,N8S,18,23,41
469,N8T,10,14,24
470,N8V,1,,1
471,N8W,25,33,58
472,N8X,23,20,43
473,N8Y,22,15,37
474,N9A,12,24,36
475,N9B,16,16,32
476,N9C,6,13,19
477,N9E,35,38,73
478,N9G,31,37,68
479,N9H,37,37,74
480,N9J,58,42,100
481,N9K,7,7,14
482,N9T,1,,1
483,N9V,36,43,79
484,N9Y,34,27,61
485,P0A,29,16,45
486,P0B,39,13,52
487,P0C,13,9,22
488,P0E,5,6,11
489,P0G,4,4,8
490,P0H,25,37,62
491,P0J,14,17,31
492,P0K,3,7,10
493,P0L,9,16,25
494,P0M,31,54,85
495,P0N,1,2,3
496,P0P,8,14,22
497,P0R,5,5,10
498,P0S,9,2,11
499,P0T,16,34,50
500,P0V,2,7,9
501,P0W,1,1,2
502,P0X,8,6,14
503,P1A,10,13,23
504,P1B,29,47,76
505,P1C,14,5,19
506,P1H,43,21,64
507,P1L,34,27,61
508,P1P,17,10,27
509,P2A,32,12,44
510,P2B,9,10,19
511,P2N,,4,4
512,P3A,25,28,53
513,P3B,15,18,33
514,P3C,8,14,22
515,P3E,65,69,134
516,P3G,21,16,37
517,P3L,5,6,11
518,P3N,3,10,13
519,P3P,29,20,49
520,P3Y,8,9,17
521,P4N,10,18,28
522,P4P,2,,2
523,P4R,4,3,7
524,P5A,1,2,3
525,P5E,4,3,7
526,P5N,4,8,12
527,P6A,17,27,44
528,P6B,18,8,26
529,P6C,4,4,8
530,P7A,19,32,51
531,P7B,21,26,47
532,P7C,11,12,23
533,P7E,6,14,20
534,P7G,20,20,40
535,P7J,6,5,11
536,P7K,4,5,9
537,P7L,,3,3
538,P8N,2,7,9
539,P8T,3,5,8
540,P9A,1,5,6
541,P9N,11,5,16
