_id,FSA,BEV,PHEV,TotalEV
1,K0A,573,298,871
2,K0B,57,50,107
3,K0C,129,86,215
4,K0E,91,64,155
5,K0G,164,90,254
6,K0H,158,109,267
7,K0J,58,54,112
8,K0K,311,194,505
9,K0L,163,99,262
10,K0M,101,48,149
11,K1A,23,51,74
12,K1B,62,48,110
13,K1C,155,120,275
14,K1E,47,30,77
15,K1G,104,102,206
16,K1H,90,79,169
17,K1J,111,93,204
18,K1K,115,92,207
19,K1L,36,49,85
20,K1M,69,53,122
21,K1N,66,63,129
22,K1P,17,15,32
23,K1R,62,34,96
24,K1S,229,177,406
25,K1T,171,75,246
26,K1V,208,158,366
27,K1W,92,43,135
28,K1X,33,8,41
29,K1Y,164,81,245
30,K1Z,105,60,165
31,K2A,149,70,219
32,K2B,92,67,159
33,K2C,116,69,185
34,K2E,82,54,136
35,K2G,212,118,330
36,K2H,118,84,202
37,K2J,379,212,591
38,K2K,181,98,279
39,K2L,64,51,115
40,K2M,172,99,271
41,K2P,65,36,101
42,K2R,14,8,22
43,K2S,259,138,397
44,K2T,88,42,130
45,K2V,85,34,119
46,K2W,82,24,106
47,K4A,296,163,459
48,K4B,29,24,53
49,K4C,48,21,69
50,K4K,98,47,145
51,K4M,190,60,250
52,K4P,99,42,141
53,K4R,37,34,71
54,K5M,1,,1
55,K6A,32,21,53
56,K6H,53,39,92
57,K6J,19,20,39
58,K6K,4,4,8
59,K6T,2,,2
60,K6V,54,45,99
61,K7A,29,19,48
62,K7C,73,40,113
63,K7G,25,12,37
64,K7H,68,46,114
65,K7K,83,52,135
66,K7L,123,91,214
67,K7M,145,103,248
68,K7N,21,9,30
69,K7P,105,48,153
70,K7R,32,20,52
71,K7S,46,19,65
72,K7V,24,12,36
73,K8A,35,26,61
74,K8B,,1,1
75,K8H,38,32,70
76,K8J,1,,1
77,K8N,79,48,127
78,K8P,27,31,58
79,K8R,9,6,15
80,K8V,57,51,108
81,K9A,99,66,165
82,K9H,60,46,106
83,K9J,108,81,189
84,K9K,40,19,59
85,K9L,21,20,41
86,K9V,44,27,71
87,L0A,74,32,106
88,L0B,68,42,110
89,L0C,38,16,54
90,L0E,55,35,90
91,L0G,275,98,373
92,L0H,10,7,17
93,L0J,74,14,88
94,L0K,142,60,202
95,L0L,255,78,333
96,L0M,145,47,192
97,L0N,15,6,21
98,L0P,112,28,140
99,L0R,435,235,670
100,L0S,314,178,492
101,L0T,1,,1
102,L1A,56,35,91
103,L1B,49,28,77
104,L1C,198,83,281
105,L1E,89,51,140
106,L1G,86,60,146
107,L1H,126,43,169
108,L1J,83,61,144
109,L1K,186,61,247
110,L1L,85,25,110
111,L1M,127,50,177
112,L1N,216,111,327
113,L1P,173,61,234
114,L1R,208,62,270
115,L1S,190,91,281
116,L1T,271,90,361
117,L1V,286,103,389
118,L1W,105,38,143
119,L1X,167,39,206
120,L1Y,22,9,31
121,L1Z,201,96,297
122,L2A,49,27,76
123,L2E,36,24,60
124,L2G,83,45,128
125,L2H,115,54,169
126,L2J,39,23,62
127,L2L,,1,1
128,L2M,53,44,97
129,L2N,104,55,159
130,L2P,38,21,59
131,L2R,96,124,220
132,L2S,65,43,108
133,L2T,32,22,54
134,L2V,66,20,86
135,L2W,8,4,12
136,L2Y,,1,1
137,L3A,1,,1
138,L3B,58,26,84
139,L3C,76,48,124
140,L3E,1,,1
141,L3J,20,23,43
142,L3K,39,24,63
143,L3L,4,,4
144,L3M,210,129,339
145,L3N,1,,1
146,L3P,289,107,396
147,L3R,613,209,822
148,L3S,244,79,323
149,L3T,393,134,527
150,L3V,130,81,211
151,L3X,393,119,512
152,L3Y,243,143,386
153,L3Z,272,74,346
154,L4A,523,158,681
155,L4B,585,149,734
156,L4C,594,186,780
157,L4E,613,184,797
158,L4G,615,228,843
159,L4H,685,162,847
160,L4J,559,190,749
161,L4K,302,82,384
162,L4L,353,96,449
163,L4M,177,74,251
164,L4N,420,148,568
165,L4P,139,55,194
166,L4R,42,23,65
167,L4S,387,125,512
168,L4T,83,40,123
169,L4V,24,11,35
170,L4W,242,80,322
171,L4X,58,15,73
172,L4Y,76,41,117
173,L4Z,176,85,261
174,L5A,99,32,131
175,L5B,255,116,371
176,L5C,146,69,215
177,L5E,80,28,108
178,L5G,187,86,273
179,L5H,247,82,329
180,L5J,173,80,253
181,L5K,85,31,116
182,L5L,265,117,382
183,L5M,717,237,954
184,L5N,417,174,591
185,L5P,3,8,11
186,L5R,244,80,324
187,L5S,42,8,50
188,L5T,101,26,127
189,L5V,255,70,325
190,L5W,207,44,251
191,L5X,1,,1
192,L6A,728,167,895
193,L6B,364,72,436
194,L6C,755,212,967
195,L6E,314,96,410
196,L6G,65,20,85
197,L6H,816,334,1150
198,L6J,465,180,645
199,L6K,161,108,269
200,L6L,412,149,561
201,L6M,799,283,1082
202,L6P,697,129,826
203,L6R,409,107,516
204,L6S,164,85,249
205,L6T,117,85,202
206,L6V,106,57,163
207,L6W,79,53,132
208,L6X,408,95,503
209,L6Y,582,147,729
210,L6Z,114,57,171
211,L7A,459,134,593
212,L7B,308,67,375
213,L7C,392,104,496
214,L7E,229,84,313
215,L7G,330,144,474
216,L7H,1,,1
217,L7J,81,42,123
218,L7K,78,26,104
219,L7L,375,196,571
220,L7M,423,191,614
221,L7N,112,56,168
222,L7P,232,105,337
223,L7R,131,96,227
224,L7S,70,45,115
225,L7T,138,75,213
226,L8B,191,93,284
227,L8E,199,107,306
228,L8G,82,40,122
229,L8H,45,28,73
230,L8J,139,60,199
231,L8K,67,55,122
232,L8L,51,32,83
233,L8M,26,35,61
234,L8N,35,24,59
235,L8P,81,78,159
236,L8R,20,13,33
237,L8S,45,35,80
238,L8T,32,29,61
239,L8V,26,27,53
240,L8W,74,40,114
241,L9A,71,42,113
242,L9B,96,67,163
243,L9C,135,96,231
244,L9E,200,32,232
245,L9G,215,117,332
246,L9H,243,156,399
247,L9J,23,3,26
248,L9K,167,55,222
249,L9L,69,26,95
250,L9M,40,32,72
251,L9N,228,53,281
252,L9P,102,61,163
253,L9R,95,38,133
254,L9S,190,65,255
255,L9T,753,236,989
256,L9V,76,43,119
257,L9W,243,112,355
258,L9X,110,33,143
259,L9Y,176,74,250
260,L9Z,77,35,112
261,M1B,201,117,318
262,M1C,205,81,286
263,M1E,109,73,182
264,M1G,40,22,62
265,M1H,71,34,105
266,M1J,47,19,66
267,M1K,62,27,89
268,M1L,74,30,104
269,M1M,95,39,134
270,M1N,89,61,150
271,M1P,89,34,123
272,M1R,67,31,98
273,M1S,119,51,170
274,M1T,65,34,99
275,M1V,127,45,172
276,M1W,106,50,156
277,M1X,78,16,94
278,M2B,1,,1
279,M2H,107,46,153
280,M2J,267,110,377
281,M2K,148,59,207
282,M2L,175,56,231
283,M2M,170,60,230
284,M2N,470,200,670
285,M2P,116,29,145
286,M2R,84,54,138
287,M3A,244,44,288
288,M3B,226,63,289
289,M3C,130,36,166
290,M3H,177,65,242
291,M3J,100,33,133
292,M3K,36,10,46
293,M3L,33,6,39
294,M3M,20,8,28
295,M3N,32,10,42
296,M3R,,1,1
297,M4A,29,16,45
298,M4B,67,28,95
299,M4C,110,72,182
300,M4E,142,92,234
301,M4G,218,85,303
302,M4H,17,8,25
303,M4J,128,63,191
304,M4K,130,74,204
305,M4L,147,87,234
306,M4M,134,80,214
307,M4N,238,84,322
308,M4P,110,44,154
309,M4R,100,55,155
310,M4S,206,42,248
311,M4T,107,41,148
312,M4V,189,59,248
313,M4W,193,66,259
314,M4X,31,8,39
315,M4Y,96,30,126
316,M5A,201,58,259
317,M5B,33,18,51
318,M5C,30,8,38
319,M5E,71,18,89
320,M5G,52,46,98
321,M5H,79,20,99
322,M5J,91,32,123
323,M5K,6,1,7
324,M5L,5,,5
325,M5M,298,119,417
326,M5N,131,57,188
327,M5P,207,75,282
328,M5R,208,73,281
329,M5S,65,31,96
330,M5T,52,22,74
331,M5V,384,76,460
332,M5X,2,2,4
333,M6A,51,21,72
334,M6B,107,43,150
335,M6C,160,61,221
336,M6E,80,28,108
337,M6G,136,65,201
338,M6H,106,53,159
339,M6J,152,43,195
340,M6K,139,51,190
341,M6L,26,15,41
342,M6M,50,30,80
343,M6N,54,42,96
344,M6P,129,86,215
345,M6R,98,71,169
346,M6S,226,118,344
347,M6Y,1,,1
348,M6Z,1,,1
349,M8A,1,,1
350,M8B,2,,2
351,M8V,236,78,314
352,M8W,123,41,164
353,M8X,131,56,187
354,M8Y,163,57,220
355,M8Z,212,111,323
356,M9A,249,111,360
357,M9B,215,76,291
358,M9C,129,65,194
359,M9L,47,14,61
360,M9M,42,10,52
361,M9N,59,29,88
362,M9P,64,19,83
363,M9R,59,22,81
364,M9V,100,39,139
365,M9W,513,48,561
366,N0A,85,55,140
367,N0B,595,287,882
368,N0C,56,26,82
369,N0E,81,54,135
370,N0G,173,105,278
371,N0H,215,123,338
372,N0J,80,59,139
373,N0K,32,25,57
374,N0L,176,111,287
375,N0M,179,105,284
376,N0N,65,55,120
377,N0P,85,57,142
378,N0R,163,146,309
379,N1A,29,11,40
380,N1C,15,20,35
381,N1E,179,104,283
382,N1G,158,79,237
383,N1H,167,97,264
384,N1K,44,21,65
385,N1L,146,67,213
386,N1M,66,44,110
387,N1P,31,14,45
388,N1R,121,60,181
389,N1S,94,41,135
390,N1T,102,39,141
391,N2A,150,67,217
392,N2B,67,31,98
393,N2C,40,20,60
394,N2E,105,47,152
395,N2G,69,29,98
396,N2H,120,59,179
397,N2J,108,39,147
398,N2K,235,99,334
399,N2L,183,84,267
400,N2M,118,58,176
401,N2N,77,65,142
402,N2P,195,73,268
403,N2R,138,42,180
404,N2S,1,,1
405,N2T,146,74,220
406,N2V,133,77,210
407,N2Z,56,33,89
408,N3A,109,69,178
409,N3B,49,22,71
410,N3C,155,78,233
411,N3E,22,6,28
412,N3G,1,,1
413,N3H,84,33,117
414,N3K,1,,1
415,N3L,88,49,137
416,N3M,1,,1
417,N3P,14,18,32
418,N3R,86,58,144
419,N3S,51,30,81
420,N3T,157,80,237
421,N3V,11,2,13
422,N3W,66,28,94
423,N3Y,45,28,73
424,N4B,13,7,20
425,N4G,50,35,85
426,N4K,86,67,153
427,N4L,17,16,33
428,N4N,26,13,39
429,N4S,82,50,132
430,N4T,57,33,90
431,N4V,11,5,16
432,N4W,29,16,45
433,N4X,24,28,52
434,N4Z,7,9,16
435,N5A,91,71,162
436,N5C,49,17,66
437,N5H,21,18,39
438,N5L,15,10,25
439,N5N,1,,1
440,N5P,46,33,79
441,N5R,58,52,110
442,N5V,38,34,72
443,N5W,35,29,64
444,N5X,133,79,212
445,N5Y,32,32,64
446,N5Z,27,37,64
447,N6A,55,34,89
448,N6B,19,24,43
449,N6C,83,60,143
450,N6E,16,51,67
451,N6G,187,138,325
452,N6H,116,73,189
453,N6J,38,33,71
454,N6K,160,125,285
455,N6L,25,14,39
456,N6M,28,15,43
457,N6N,6,,6
458,N6P,66,43,109
459,N7A,40,31,71
460,N7G,44,30,74
461,N7L,39,24,63
462,N7M,45,31,76
463,N7S,42,39,81
464,N7T,22,19,41
465,N7V,20,11,31
466,N7W,7,5,12
467,N7X,11,3,14
468,N8A,11,9,20
469,N8H,34,41,75
470,N8M,22,26,48
471,N8N,99,60,159
472,N8P,37,37,74
473,N8R,16,21,37
474,N8S,28,29,57
475,N8T,12,16,28
476,N8W,40,35,75
477,N8X,30,18,48
478,N8Y,24,19,43
479,N9A,16,36,52
480,N9B,23,17,40
481,N9C,8,14,22
482,N9E,48,38,86
483,N9G,45,38,83
484,N9H,53,46,99
485,N9J,77,55,132
486,N9K,14,8,22
487,N9T,1,,1
488,N9V,51,47,98
489,N9Y,49,32,81
490,P0A,35,20,55
491,P0B,50,18,68
492,P0C,28,11,39
493,P0E,8,10,18
494,P0G,4,6,10
495,P0H,47,43,90
496,P0J,19,18,37
497,P0K,4,6,10
498,P0L,9,18,27
499,P0M,55,71,126
500,P0N,3,5,8
501,P0P,15,19,34
502,P0R,10,5,15
503,P0S,15,3,18
504,P0T,24,31,55
505,P0V,4,6,10
506,P0W,2,1,3
507,P0X,11,6,17
508,P1A,15,15,30
509,P1B,37,48,85
510,P1C,18,7,25
511,P1H,57,25,82
512,P1L,51,32,83
513,P1P,27,14,41
514,P2A,42,13,55
515,P2B,11,12,23
516,P2N,1,3,4
517,P3A,38,31,69
518,P3B,23,18,41
519,P3C,17,18,35
520,P3E,93,70,163
521,P3G,29,19,48
522,P3L,5,7,12
523,P3N,7,11,18
524,P3P,42,33,75
525,P3S,1,,1
526,P3Y,14,10,24
527,P4N,12,18,30
528,P4P,2,1,3
529,P4R,6,8,14
530,P5A,2,3,5
531,P5E,6,3,9
532,P5N,8,12,20
533,P6A,30,30,60
534,P6B,25,8,33
535,P6C,9,4,13
536,P7A,27,36,63
537,P7B,29,29,58
538,P7C,18,14,32
539,P7E,11,19,30
540,P7G,28,24,52
541,P7J,8,6,14
542,P7K,7,5,12
543,P7L,2,2,4
544,P8N,6,8,14
545,P8T,5,6,11
546,P9A,3,6,9
547,P9N,18,8,26
